,chave,ativo,tipo_periodo,data,receita_total,custo_produtos_vendidos,despesas_adm_vendas,pesquisa_desenvolvimento,despesas_juros,ebit,lucro_bruto,lucro_antes_impostos,lucro_liquido
0,BBAS3Trimestral,BBAS3,Trimestral,2022-06-30,26239956000.0,188045000.0,8829135000.0,,,0.0,26051911000.0,11632395000.0,8202219000.0
1,BBAS3Trimestral,BBAS3,Trimestral,2022-03-31,19452195000.0,185748000.0,8381521000.0,,,0.0,19266447000.0,4969388000.0,4567917000.0
2,BBAS3Trimestral,BBAS3,Trimestral,2021-12-31,18397749000.0,190275000.0,9197307000.0,,,0.0,18207474000.0,7406253000.0,5351963000.0
3,BBAS3Trimestral,BBAS3,Trimestral,2021-09-30,18056403000.0,198444000.0,8493555000.0,,,0.0,17857959000.0,6760047000.0,4608838000.0
4,BBAS3Anual,BBAS3,Anual,2021-12-31,74031801000.0,753117000.0,35629827000.0,,,0.0,73278684000.0,25757215000.0,19710402000.0
5,BBAS3Anual,BBAS3,Anual,2020-12-31,58483157000.0,737076000.0,34047198000.0,,,0.0,57746081000.0,12821042000.0,12697385000.0
6,BBAS3Anual,BBAS3,Anual,2019-12-31,61745862000.0,734209000.0,34847301000.0,,,0.0,61011653000.0,13783434000.0,18162067000.0
7,BBAS3Anual,BBAS3,Anual,2018-12-31,60334372000.0,715937000.0,33261795000.0,,,0.0,59618435000.0,19025243000.0,12862026000.0
8,BBDC4Anual,BBDC4,Anual,2021-12-31,92840261000.0,1304469000.0,40475278000.0,,,0.0,91535792000.0,32852367000.0,23172322000.0
9,BBDC4Anual,BBDC4,Anual,2020-12-31,62583710000.0,1299441000.0,39071192000.0,,,0.0,61284269000.0,4075295000.0,15836862000.0
10,BBDC4Anual,BBDC4,Anual,2019-12-31,85276496000.0,1231596000.0,42267318000.0,,,0.0,84044900000.0,13381078000.0,21023023000.0
11,BBDC4Anual,BBDC4,Anual,2018-12-31,71911018000.0,1112508000.0,38151507000.0,,,0.0,70798510000.0,19442015000.0,16583915000.0
12,BBDC4Trimestral,BBDC4,Trimestral,2022-06-30,24304829000.0,335645000.0,10703101000.0,,,0.0,23969184000.0,9464214000.0,7138335000.0
13,BBDC4Trimestral,BBDC4,Trimestral,2022-03-31,24048282000.0,338944000.0,10000424000.0,,,0.0,23709338000.0,10382635000.0,7222208000.0
14,BBDC4Trimestral,BBDC4,Trimestral,2021-12-31,22584340000.0,339736000.0,12410751000.0,,,0.0,22244604000.0,5451336000.0,4397276000.0
15,BBDC4Trimestral,BBDC4,Trimestral,2021-09-30,22756354000.0,324699000.0,9736303000.0,,,0.0,22431655000.0,9004551000.0,6647984000.0
16,PETR4Trimestral,PETR4,Trimestral,2022-06-30,170960000000.0,75099000000.0,7725000000.0,1080000000.0,-3576000000.0,98817000000.0,95861000000.0,80677000000.0,54330000000.0
17,PETR4Trimestral,PETR4,Trimestral,2022-03-31,141641000000.0,66875000000.0,7718000000.0,1081000000.0,-3066000000.0,61213000000.0,74766000000.0,68381000000.0,44561000000.0
18,PETR4Trimestral,PETR4,Trimestral,2021-12-31,176587000000.0,117540000000.0,7810000000.0,827000000.0,-8356000000.0,49577000000.0,59047000000.0,44485000000.0,31504000000.0
19,PETR4Trimestral,PETR4,Trimestral,2021-09-30,106020000000.0,46468000000.0,7529000000.0,792000000.0,-2093000000.0,48857000000.0,59552000000.0,40977000000.0,31142000000.0
20,PETR4Anual,PETR4,Anual,2021-12-31,452668000000.0,233031000000.0,29146000000.0,3033000000.0,-16801000000.0,187491000000.0,219637000000.0,151575000000.0,106668000000.0
21,PETR4Anual,PETR4,Anual,2020-12-31,272069000000.0,148107000000.0,30545000000.0,1819000000.0,-20508000000.0,80307000000.0,123962000000.0,37000000.0,7108000000.0
22,PETR4Anual,PETR4,Anual,2019-12-31,263827000000.0,141722000000.0,26114000000.0,2268000000.0,-13810000000.0,77770000000.0,122105000000.0,47242000000.0,40137000000.0
23,PETR4Anual,PETR4,Anual,2018-12-31,310255000000.0,191568000000.0,22084000000.0,2345000000.0,-14980000000.0,70668000000.0,118687000000.0,38967000000.0,25779000000.0
24,ABEV3Anual,ABEV3,Anual,2021-12-31,72854344000.0,35659744000.0,21961211000.0,,-1431774000.0,17291355000.0,37194600000.0,13759160000.0,12670968000.0
25,ABEV3Anual,ABEV3,Anual,2020-12-31,58378995000.0,27066099000.0,17685269000.0,,-1786600000.0,16279757000.0,31312896000.0,13494441000.0,11379394000.0
26,ABEV3Anual,ABEV3,Anual,2019-12-31,52005120000.0,21678159000.0,15432767000.0,,-1555873000.0,16336142000.0,30326961000.0,12943005000.0,11779965000.0
27,ABEV3Anual,ABEV3,Anual,2018-12-31,50231336000.0,19249423000.0,14794989000.0,,-1495677000.0,17164064000.0,30981913000.0,13121603000.0,10994961000.0
28,ABEV3Trimestral,ABEV3,Trimestral,2022-09-30,20587600000.0,10648100000.0,6211100000.0,,-691600000.0,4077100000.0,9939500000.0,2804000000.0,3108600000.0
29,ABEV3Trimestral,ABEV3,Trimestral,2022-06-30,17988995000.0,9374254000.0,5811366000.0,,-559707000.0,4030316000.0,8614741000.0,3538622000.0,2969744000.0
30,ABEV3Trimestral,ABEV3,Trimestral,2022-03-31,18439152000.0,9414486000.0,5247374000.0,,-397762000.0,4130591000.0,9024666000.0,3565614000.0,3412772000.0
31,ABEV3Trimestral,ABEV3,Trimestral,2021-12-31,22010833000.0,10496074000.0,6522588000.0,,-442436000.0,5244919000.0,11514759000.0,4104207000.0,3607242000.0
32,ITSA4Trimestral,ITSA4,Trimestral,2022-06-30,2214000000.0,1437000000.0,457000000.0,,-322000000.0,377000000.0,777000000.0,3284000000.0,3076000000.0
33,ITSA4Trimestral,ITSA4,Trimestral,2022-03-31,2131000000.0,1388000000.0,403000000.0,,-270000000.0,280000000.0,743000000.0,3889000000.0,3719000000.0
34,ITSA4Trimestral,ITSA4,Trimestral,2021-12-31,2251000000.0,1456000000.0,491000000.0,,-208000000.0,363000000.0,795000000.0,3875000000.0,4118000000.0
35,ITSA4Trimestral,ITSA4,Trimestral,2021-09-30,2177000000.0,1425000000.0,368000000.0,,-144000000.0,414000000.0,752000000.0,2664000000.0,2361000000.0
36,ITSA4Anual,ITSA4,Anual,2021-12-31,8170000000.0,5296000000.0,1513000000.0,,-478000000.0,1921000000.0,2874000000.0,13240000000.0,12200000000.0
37,ITSA4Anual,ITSA4,Anual,2020-12-31,5880000000.0,4028000000.0,1196000000.0,,-199000000.0,627000000.0,1852000000.0,7535000000.0,7056000000.0
38,ITSA4Anual,ITSA4,Anual,2019-12-31,5008000000.0,3718000000.0,1103000000.0,,-299000000.0,250000000.0,1290000000.0,10730000000.0,10312000000.0
39,ITSA4Anual,ITSA4,Anual,2018-12-31,5375000000.0,4006000000.0,1063000000.0,,-853000000.0,689000000.0,1369000000.0,9819000000.0,9436000000.0
40,QUAL3Trimestral,QUAL3,Trimestral,2022-06-30,489044000.0,98758000.0,226466000.0,,-49862000.0,134352000.0,390286000.0,79913000.0,49377000.0
41,QUAL3Trimestral,QUAL3,Trimestral,2022-03-31,502209000.0,101151000.0,218584000.0,,-3521000.0,154443000.0,401058000.0,113220000.0,74054000.0
42,QUAL3Trimestral,QUAL3,Trimestral,2021-12-31,521500000.0,104332000.0,213929000.0,,-31845000.0,128783000.0,417168000.0,78977000.0,50588000.0
43,QUAL3Trimestral,QUAL3,Trimestral,2021-09-30,534859000.0,104481000.0,226399000.0,,-22704000.0,179602000.0,430378000.0,168018000.0,110441000.0
44,QUAL3Anual,QUAL3,Anual,2021-12-31,2096548000.0,425867000.0,895495000.0,,-79827000.0,639427000.0,1670681000.0,554351000.0,365812000.0
45,QUAL3Anual,QUAL3,Anual,2020-12-31,2025951000.0,362180000.0,815873000.0,,-55643000.0,609230000.0,1663771000.0,552287000.0,392101000.0
46,QUAL3Anual,QUAL3,Anual,2019-12-31,2001326000.0,379484000.0,864137000.0,,-115968000.0,574278000.0,1621842000.0,537529000.0,372177000.0
47,QUAL3Anual,QUAL3,Anual,2018-12-31,1932124000.0,368621000.0,777539000.0,,-46751000.0,663423000.0,1563503000.0,628109000.0,397043000.0
48,TRPL4Trimestral,TRPL4,Trimestral,2022-09-30,1192688000.0,533318000.0,60944000.0,,-175365000.0,597577000.0,659370000.0,616892000.0,476937000.0
49,TRPL4Trimestral,TRPL4,Trimestral,2022-06-30,1666034000.0,576248000.0,59778000.0,,-128198000.0,1035436000.0,1089786000.0,914710000.0,699705000.0
50,TRPL4Trimestral,TRPL4,Trimestral,2022-03-31,1360061000.0,457459000.0,67562000.0,,-112157000.0,828375000.0,902602000.0,725995000.0,543074000.0
51,TRPL4Trimestral,TRPL4,Trimestral,2021-12-31,1437311000.0,401767000.0,81626000.0,,-98397000.0,947616000.0,1035544000.0,891134000.0,862879000.0
52,TRPL4Anual,TRPL4,Anual,2021-12-31,5534129000.0,1412463000.0,223998000.0,,-314065000.0,3918706000.0,4121666000.0,3806224000.0,3018599000.0
53,TRPL4Anual,TRPL4,Anual,2020-12-31,3696428000.0,1135988000.0,253516000.0,,-170945000.0,3805925000.0,2560440000.0,4218067000.0,3361503000.0
54,TRPL4Anual,TRPL4,Anual,2019-12-31,3331862000.0,952177000.0,195119000.0,,-149829000.0,2161384000.0,2379685000.0,2155913000.0,1762631000.0
55,TRPL4Anual,TRPL4,Anual,2018-12-31,3184654000.0,725246000.0,166635000.0,,-148943000.0,2293037000.0,2459408000.0,2316644000.0,1881668000.0
56,USIM5Trimestral,USIM5,Trimestral,2022-09-30,8434426000.0,7430460000.0,279591000.0,,,577412000.0,1003966000.0,812850000.0,517002000.0
57,USIM5Trimestral,USIM5,Trimestral,2022-06-30,8531460000.0,6344153000.0,340207000.0,,-129403000.0,1646386000.0,2187307000.0,1468772000.0,889268000.0
58,USIM5Trimestral,USIM5,Trimestral,2022-03-31,7844648000.0,6129398000.0,301597000.0,,-54167000.0,1298286000.0,1715250000.0,1831989000.0,1191414000.0
59,USIM5Trimestral,USIM5,Trimestral,2021-12-31,8049214000.0,5903344000.0,315935000.0,,-54167000.0,3358879000.0,2145870000.0,2541123000.0,2408466000.0
